Lipid Species,Lipid Class,log2FC,pValue,pValue_log10,FDR,ABS(log2FC)
DG 18:1_18:3,DG,1.129,0.0036,2.443697499,0.0164,1.128619424
PE P-16:0/20:4,PE,-0.838,0.0036,2.443697499,0.0164,0.837743845
TG 18:0_34:1,TG,-1.908,0.0036,2.443697499,0.0164,1.908004891
TG 18:3_36:2,TG,1.571,0.0036,2.443697499,0.0164,1.570513561
TG 18:1_38:5,TG,-1.274,0.0035,2.455931956,0.0164,1.27380212
TG 18:0_32:2,TG,-1.981,0.0034,2.468521083,0.0164,1.980937347
PE 34:1,PE,-0.974,0.0033,2.48148606,0.0163,0.97384657
TG 14:0_36:1,TG,-2.134,0.0033,2.48148606,0.0163,2.134073854
PE O-40:7,PE,-0.974,0.003,2.522878745,0.0156,0.974476514
PI 34:1,PI,-0.941,0.003,2.522878745,0.0155,0.941293264
TG 18:1_33:0,TG,-1.829,0.003,2.522878745,0.0155,1.828864448
LPE 18:1,LPE,-0.57,0.0029,2.537602002,0.0155,0.570132479
PI 40:4,PI,-1.444,0.0028,2.552841969,0.0155,1.443792579
TG 17:0_36:2,TG,-2.067,0.0028,2.552841969,0.0155,2.06654851
TG 16:0_38:5,TG,-1.764,0.0025,2.602059991,0.0145,1.764202303
DG 18:2_20:4,DG,-1.938,0.0023,2.638272164,0.0134,1.938224242
PE 34:2,PE,-0.857,0.0023,2.638272164,0.0134,0.857467414
TG 16:0_36:3,TG,-1.672,0.0023,2.638272164,0.0136,1.672099428
PC 32:3,PC,1.769,0.0022,2.657577319,0.0134,1.769046919
PC 34:0,PC,-0.854,0.0022,2.657577319,0.0134,0.85425727
TG 16:0_35:2,TG,-2.397,0.0022,2.657577319,0.0134,2.396929641
PC O-32:0,PC,-0.75,0.002,2.698970004,0.0129,0.750082848
TG 18:1_34:2,TG,-1.767,0.002,2.698970004,0.0129,1.766857188
TG 18:1_35:1,TG,-1.705,0.0019,2.721246399,0.0129,1.705040843
TG 18:3_36:4,TG,3.286,0.0019,2.721246399,0.0129,3.286271878
PC O-38:5,PC,-0.655,0.0018,2.744727495,0.0129,0.655009345
PC P-38:4,PC,-0.997,0.0016,2.795880017,0.0119,0.997395558
TG 20:3_34:2,TG,-2.364,0.0016,2.795880017,0.0118,2.36418638
SM 32:0,SM,-0.742,0.0014,2.853871964,0.011,0.742234162
LPC 16:1,LPC,-1.036,0.0013,2.886056648,0.01,1.035870415
LPC 20:4,LPC,-1.003,0.0013,2.886056648,0.01,1.002843367
PC 34:3,PC,0.783,0.0012,2.920818754,0.0095,0.783094022
PC O-36:5,PC,1.006,0.0011,2.958607315,0.0095,1.005642254
TG 20:3_36:2,TG,-1.825,0.0011,2.958607315,0.0095,1.825070148
PC 33:1,PC,-1.035,0.0009,3.045757491,0.0084,1.034809565
PE 36:4,PE,-1.367,0.0009,3.045757491,0.0084,1.367244734
TG 18:0_34:2,TG,-1.155,0.0009,3.045757491,0.0084,1.154573576
LPC 16:0,LPC,-0.952,0.0008,3.096910013,0.0074,0.952191121
PC 32:2,PC,-1.488,0.0007,3.15490196,0.007,1.488389405
PC O-36:4,PC,-0.781,0.0007,3.15490196,0.007,0.781137554
PE 36:5,PE,1.026,0.0007,3.15490196,0.007,1.025824803
TG 20:5_36:4,TG,1.7,0.0007,3.15490196,0.0074,1.700403204
LPE 16:0,LPE,-0.631,0.0006,3.22184875,0.007,0.630685791
PE O-38:4,PE,-1.555,0.0006,3.22184875,0.007,1.554658463
PI 32:1,PI,-1.685,0.0006,3.22184875,0.007,1.685467299
TG 18:1_34:0,TG,-1.526,0.0006,3.22184875,0.007,1.5255432
TG 18:1_38:2,TG,-1.371,0.0006,3.22184875,0.007,1.370890865
DG 18:1_20:4,DG,-1.839,0.0005,3.301029996,0.007,1.838546668
PE P-18:0/20:4,PE,-1.355,0.0005,3.301029996,0.007,1.354983383
CE 16:1,CE,-0.889,0.0004,3.397940009,0.0057,0.888786009
PC O-40:5,PC,-0.925,0.0004,3.397940009,0.0057,0.924866088
LPC O-20:0,LPC,-0.795,0.0003,3.522878745,0.0054,0.794797779
PC 33:2,PC,-0.926,0.0003,3.522878745,0.0057,0.925512807
PC P-36:5,PC,1.501,0.0003,3.522878745,0.0057,1.50081357
TG 18:1_34:1,TG,-1.857,0.0002,3.698970004,0.0038,1.857300139
LPC 20:5,LPC,1.258,0.0001,4,0.0026,1.257711998
LPE 20:4,LPE,-0.725,0.0001,4,0.0026,0.725068898
PC O-38:4,PC,-1.228,0.0001,4,0.0026,1.22829536
PI 36:4,PI,-1.019,0.0001,4,0.0026,1.018913809
S1P d16:1,S1P,1.054,0.0001,4,0.0026,1.053517578
TG 16:0_36:1,TG,-1.722,0.0001,4,0.0033,1.721876468
LPC 18:3,LPC,3.697,0,,0.0011,3.697484746
PC 32:0,PC,-1.043,0,,0.0009,1.042635864
PC 32:1,PC,-1.642,0,,0.0011,1.641992988
S1P d17:1,S1P,0.976,0,,0.0011,0.976167643
CE 18:3,CE,3.841,0,,0.0009,3.841104017
PC 34:1,PC,-1.115,0,,0.0009,1.115021893
PC 34:2,PC,-0.613,0,,0.0009,0.612988249
PC 36:4,PC,-1.184,0,,0.0009,1.184217559
