DogID,Diet,LipidClass,Conc
11,Diet-2,PE,16.893802650999998
11,Diet-2,PE-O,4.723371716
11,Diet-2,PE-P,3.1312221140000007
11,Diet-2,PI,48.677103538000004
11,Diet-2,PS,0.219594901
11,Diet-2,S1P,0.7088111960000001
11,Diet-2,SM,534.4890531479999
11,Diet-2,TG,1026.2887711009998
12,Diet-2,CE,11950.184658496
12,Diet-2,Cer,5.232364603
12,Diet-2,DG,49.589653788
12,Diet-2,GM3,1.15551222
12,Diet-2,Hex1Cer,0.511160721
12,Diet-2,Hex2Cer,0.7438905440000001
12,Diet-2,Hex3Cer,0.142719837
12,Diet-2,LPC,784.6890480009998
12,Diet-2,LPC-O,7.119207465
12,Diet-2,LPE,9.743561594
12,Diet-2,LPI,0.26818480499999997
12,Diet-2,PC,3990.5799324340005
12,Diet-2,PC-O,123.54727037900001
12,Diet-2,PC-P,45.251607177
12,Diet-2,PE,24.810340050999997
12,Diet-2,PE-O,6.15951055
12,Diet-2,PE-P,4.866092828
12,Diet-2,PI,92.14802207199999
12,Diet-2,PS,0.681513383
12,Diet-2,S1P,0.8638632340000001
12,Diet-2,SM,579.4220916109999
12,Diet-2,TG,861.5055598700002
13,Diet-2,CE,7856.5281249849995
13,Diet-2,Cer,5.849545088000001
13,Diet-2,DG,74.669542505
13,Diet-2,GM3,1.145263083
13,Diet-2,Hex1Cer,0.543780339
13,Diet-2,Hex2Cer,1.0363629989999998
13,Diet-2,Hex3Cer,0.152848961
13,Diet-2,LPC,709.759009552
13,Diet-2,LPC-O,8.761805966
13,Diet-2,LPE,10.297837315
13,Diet-2,LPI,0.257417811
13,Diet-2,PC,3164.511860681001
13,Diet-2,PC-O,113.884735954
13,Diet-2,PC-P,45.707617111
13,Diet-2,PE,25.476685722
13,Diet-2,PE-O,5.004696591
13,Diet-2,PE-P,4.221177663
13,Diet-2,PI,68.08306152699998
13,Diet-2,PS,0.184293244
13,Diet-2,S1P,0.9092976359999999
13,Diet-2,SM,564.392651755
13,Diet-2,TG,920.6442962909998
14,Diet-1,CE,5957.663696296999
14,Diet-1,Cer,2.9952923689999995
14,Diet-1,DG,53.456498892000006
14,Diet-1,GM3,1.217871141
14,Diet-1,Hex1Cer,0.46157121700000003
14,Diet-1,Hex2Cer,0.6236612039999999
14,Diet-1,Hex3Cer,0.123397693
14,Diet-1,LPC,525.5649280719999
14,Diet-1,LPC-O,5.440044951000001
14,Diet-1,LPE,10.861995796
14,Diet-1,LPI,0.12289225200000001
14,Diet-1,PC,3565.445999475
14,Diet-1,PC-O,122.782530298
14,Diet-1,PC-P,32.852447138
14,Diet-1,PE,13.549617622000001
14,Diet-1,PE-O,5.60264954
14,Diet-1,PE-P,4.533810682
14,Diet-1,PI,82.026935333
14,Diet-1,PS,0.232873155
14,Diet-1,S1P,0.7428154619999998
14,Diet-1,SM,390.309071769
14,Diet-1,TG,1527.6585001439998
15,Diet-2,CE,7634.812108298
15,Diet-2,Cer,3.882094772
15,Diet-2,DG,51.997869978
15,Diet-2,GM3,0.985933403
15,Diet-2,Hex1Cer,0.471916365
15,Diet-2,Hex2Cer,0.7794384900000001
15,Diet-2,Hex3Cer,0.113700617
15,Diet-2,LPC,459.4040261699999
15,Diet-2,LPC-O,5.129383325
15,Diet-2,LPE,9.552214512
15,Diet-2,LPI,0.187370464
15,Diet-2,PC,2857.5151150970005
15,Diet-2,PC-O,106.659660019
15,Diet-2,PC-P,37.406331232999996
15,Diet-2,PE,23.402440022
15,Diet-2,PE-O,8.430492473
15,Diet-2,PE-P,4.126152551000001
15,Diet-2,PI,57.834417666
15,Diet-2,PS,0.564324003
15,Diet-2,S1P,0.834319068
15,Diet-2,SM,481.1722172499999
15,Diet-2,TG,836.902101866
16,Diet-1,CE,8385.568400861
16,Diet-1,Cer,4.979136505
16,Diet-1,DG,74.35023665099999
16,Diet-1,GM3,1.288919024
16,Diet-1,Hex1Cer,0.6923328249999999
16,Diet-1,Hex2Cer,1.094089404
16,Diet-1,Hex3Cer,0.141015648
16,Diet-1,LPC,576.4411455979999
16,Diet-1,LPC-O,6.058806952
16,Diet-1,LPE,10.36785773
16,Diet-1,LPI,0.26781353
16,Diet-1,PC,4348.826542514
16,Diet-1,PC-O,188.986017447
16,Diet-1,PC-P,59.226835697999995
16,Diet-1,PE,27.248153372999997
16,Diet-1,PE-O,12.971233347000002
16,Diet-1,PE-P,5.718057558000001
16,Diet-1,PI,100.54164539199999
16,Diet-1,PS,0.366168507
16,Diet-1,S1P,0.9758482339999999
16,Diet-1,SM,596.1082828770002
16,Diet-1,TG,1104.8761197770002
